seed,samples,finger0_min_distance_m,finger1_min_distance_m,finger2_min_distance_m,best_simultaneous_max_distance_m,best_simultaneous_finger0_distance_m,best_simultaneous_finger1_distance_m,best_simultaneous_finger2_distance_m,settled_contact_count
0,100,-0.014589098047632365,-0.01942857819831617,-0.017448989285250308,-0.011923807621678002,-0.011923807621678002,-0.017355473328836364,-0.017448989285250308,3
1,100,-0.021148278077307875,-0.017950567153648823,-0.011066545417355305,-0.0005375539017586205,-0.0007407059013166736,-0.0008474633073654314,-0.0005375539017586205,3
2,100,-0.0219389644101272,-0.02271964890204886,-0.012093445567961205,-0.0005166053466921765,-0.0006981723499982998,-0.0008374113505175453,-0.0005166053466921765,3
