step,wall_time,episode_return,episode_length,train_approx_kl,train_clip_fraction,train_clip_range,train_entropy_loss,train_explained_variance,train_learning_rate,train_loss,train_n_updates,train_policy_gradient_loss,train_std,train_value_loss
16384,6.6199951171875,1364.8444351562498,500.0,0.20257271826267242,0.6379638671875,0.2,-12.327686277031898,0.3700984716415405,0.0003,-0.1046527624130249,790.0,-0.09259839199366979,0.6750418543815613,0.033583324527717194
24576,10.594947099685669,1364.8444351562498,500.0,0.1830926239490509,0.64080810546875,0.2,-12.260609447956085,0.40446972846984863,0.0003,-0.11520528793334961,800.0,-0.08864922553475481,0.6714732050895691,0.026280467890319414
32768,14.63352108001709,1466.321566,500.0,0.1971653401851654,0.646630859375,0.2,-12.17319387793541,0.36153340339660645,0.0003,-0.11879774928092957,810.0,-0.08785812262940454,0.6670054793357849,0.038838420499814674
40960,18.687780141830444,1466.321566,500.0,0.17953601479530334,0.63955078125,0.2,-12.11594142317772,0.556139349937439,0.0003,-0.110166996717453,820.0,-0.08423391183605418,0.6643204092979431,0.024933784088352694
49152,22.797608137130737,1505.4802313958335,500.0,0.2034790813922882,0.6541015625,0.2,-12.043770673871041,0.4542410969734192,0.0003,-0.1105346530675888,830.0,-0.09151995190040907,0.6595895290374756,0.026126222641323693
57344,26.796614170074463,1505.4802313958335,500.0,0.18795202672481537,0.644970703125,0.2,-11.981973659992217,0.60774827003479,0.0003,-0.1015409380197525,840.0,-0.08217989927070449,0.656832218170166,0.02692713194701355
65536,30.88370418548584,1592.9629032900004,500.0,0.20725366473197937,0.643310546875,0.2,-11.914761877059936,0.5048346519470215,0.0003,-0.10933023691177368,850.0,-0.08882856760174036,0.6528552174568176,0.02429294691537507
73728,34.94273614883423,1592.9629032900004,500.0,0.19013643264770508,0.64893798828125,0.2,-11.84840039908886,0.5185372829437256,0.0003,-0.10161636024713516,860.0,-0.08256703426595777,0.6492450833320618,0.024227698642062024
81920,39.03289198875427,1646.08426006,500.0,0.20592880249023438,0.65440673828125,0.2,-11.791475048661232,0.40054571628570557,0.0003,-0.11243154853582382,870.0,-0.0854417007707525,0.6469334959983826,0.029100083661614918
90112,42.980701208114624,1646.08426006,500.0,0.2068980634212494,0.65328369140625,0.2,-11.724719959497452,0.5971055030822754,0.0003,-0.10470050573348999,880.0,-0.08367731701000594,0.642628014087677,0.027200969649129547
98304,47.09364199638367,1712.18388054,500.0,0.2054370641708374,0.6543212890625,0.2,-11.647672387957574,0.5179215669631958,0.0003,-0.10092422366142273,890.0,-0.0829249850823544,0.6386802196502686,0.02586361801950261
106496,51.30532717704773,1712.18388054,500.0,0.23211455345153809,0.6613525390625,0.2,-11.600217708945275,0.7965483069419861,0.0003,-0.12041576206684113,900.0,-0.0829721235379111,0.6366205215454102,0.025669846453820356
