step,wall_time,episode_return,episode_length,train_approx_kl,train_clip_fraction,train_clip_range,train_entropy_loss,train_explained_variance,train_learning_rate,train_loss,train_n_updates,train_policy_gradient_loss,train_std,train_value_loss
16384,7.431879043579102,641.352095125,500.0,0.11220435798168182,0.56510009765625,0.2,-13.966316056251525,0.6143997311592102,0.0003,-0.10936050117015839,530.0,-0.0903617319301702,0.774872899055481,0.042407590907532725
24576,11.741682052612305,641.352095125,500.0,0.09501650929450989,0.54432373046875,0.2,-13.925236335396766,0.6907349824905396,0.0003,-0.11080090701580048,540.0,-0.07973258302226896,0.772814154624939,0.04372153948061168
32768,16.60779595375061,654.820428984375,500.0,0.1218567043542862,0.58570556640625,0.2,-13.88484300673008,0.4635666012763977,0.0003,-0.1256101131439209,550.0,-0.09302198692748789,0.7699515223503113,0.04171353492711205
40960,21.250627040863037,654.820428984375,500.0,0.10375813394784927,0.567431640625,0.2,-13.824072471261024,0.6447280645370483,0.0003,-0.10584267228841782,560.0,-0.08632119755202439,0.765703558921814,0.03730087855365127
49152,25.667253017425537,684.4960583854167,500.0,0.1318170130252838,0.5957763671875,0.2,-13.76081078350544,0.4695018529891968,0.0003,-0.1210532858967781,570.0,-0.0944987094393582,0.7616995573043823,0.03813600446737837
57344,30.037317037582397,684.4960583854167,500.0,0.11656467616558075,0.5767578125,0.2,-13.692258122563363,0.6597098112106323,0.0003,-0.12319356948137283,580.0,-0.08896362442173995,0.7566911578178406,0.03012506922823377
65536,34.65058994293213,756.03986663,500.0,0.12766119837760925,0.5835205078125,0.2,-13.628563505411147,0.45134395360946655,0.0003,-0.12476084381341934,590.0,-0.09042600906686857,0.7535004019737244,0.03690234692767262
73728,39.6875,756.03986663,500.0,0.12365330010652542,0.584423828125,0.2,-13.582955846190453,0.6717562675476074,0.0003,-0.10902612656354904,600.0,-0.08535960130684543,0.7513102293014526,0.03772402300382964
81920,44.778236865997314,849.0374701000001,500.0,0.12639431655406952,0.58966064453125,0.2,-13.53379730284214,0.345872700214386,0.0003,-0.12813794612884521,610.0,-0.0934505487617571,0.7475821375846863,0.034714018082013354
90112,49.58458995819092,849.0374701000001,500.0,0.13436810672283173,0.60086669921875,0.2,-13.492835396528244,0.7783049941062927,0.0003,-0.10603652149438858,620.0,-0.08841418610099935,0.7458508014678955,0.03356150916661136
98304,53.86041283607483,943.3187991600003,500.0,0.14090828597545624,0.6005859375,0.2,-13.443062967061996,0.44027841091156006,0.0003,-0.1262158751487732,630.0,-0.09438871959864628,0.7417718768119812,0.036921087335213085
106496,57.946446895599365,943.3187991600003,500.0,0.14183646440505981,0.59808349609375,0.2,-13.390458092093468,0.6995826959609985,0.0003,-0.11455903947353363,640.0,-0.09040700517070946,0.7385396361351013,0.039370416349265726
