step,wall_time,episode_return,episode_length,train_approx_kl,train_clip_fraction,train_clip_range,train_entropy_loss,train_explained_variance,train_learning_rate,train_loss,train_n_updates,train_policy_gradient_loss,train_std,train_value_loss
16384,6.57748007774353,1038.7140548749999,500.0,0.1460188925266266,0.61171875,0.2,-13.264612159132957,0.22869879007339478,0.0003,-0.11104494333267212,660.0,-0.09552265714446548,0.730670690536499,0.04697602326632477
24576,10.47954797744751,1038.7140548749999,500.0,0.13326235115528107,0.59736328125,0.2,-13.222046053409576,0.3944699168205261,0.0003,-0.11214368045330048,670.0,-0.08662336176639655,0.727971076965332,0.03890447715530172
32768,14.536386013031006,1055.70607425,500.0,0.17201963067054749,0.62652587890625,0.2,-13.17561742067337,0.3420155644416809,0.0003,-0.11502169817686081,680.0,-0.09625450007151812,0.7248305082321167,0.039800236612791196
40960,18.52338409423828,1055.70607425,500.0,0.14076898992061615,0.60469970703125,0.2,-13.105128747224807,0.4225459098815918,0.0003,-0.10770461708307266,690.0,-0.08637890242680442,0.7208179235458374,0.033395231870235874
49152,22.59191608428955,1096.8107989583332,500.0,0.17078951001167297,0.6318359375,0.2,-13.065124750137329,0.4457741379737854,0.0003,-0.11269493401050568,700.0,-0.09559587014955469,0.7189456224441528,0.03718103402061388
57344,26.670329093933105,1096.8107989583332,500.0,0.15325409173965454,0.61290283203125,0.2,-13.019835644960404,0.648257851600647,0.0003,-0.11433617025613785,710.0,-0.09173697372461902,0.716202437877655,0.03264401982887648
65536,30.79676604270935,1140.4704954799997,500.0,0.1762133091688156,0.63341064453125,0.2,-12.979709678888321,0.386680543422699,0.0003,-0.11568941920995712,720.0,-0.09558143973117694,0.7141574621200562,0.03268135325924959
73728,34.7724928855896,1140.4704954799997,500.0,0.16011136770248413,0.61678466796875,0.2,-12.919069227576255,0.3816155791282654,0.0003,-0.12084628641605377,730.0,-0.09027010240824893,0.7092509269714355,0.0351794733753195
81920,38.79511094093323,1226.4707482,500.0,0.1696426272392273,0.6292236328125,0.2,-12.845828205347061,0.28864192962646484,0.0003,-0.13051190972328186,740.0,-0.09512593682156875,0.705702006816864,0.03130666275683325
90112,42.94930410385132,1226.4707482,500.0,0.16403786838054657,0.62960205078125,0.2,-12.779003068804741,0.4170326590538025,0.0003,-0.1158762276172638,750.0,-0.08977694411150879,0.7016918659210205,0.0375264833739493
98304,47.04123497009277,1291.44320649,500.0,0.1762956976890564,0.64290771484375,0.2,-12.715027487277984,0.1669483184814453,0.0003,-0.11952574551105499,760.0,-0.09238552266760962,0.698027491569519,0.033816571749048306
106496,51.12112092971802,1291.44320649,500.0,0.16879716515541077,0.631787109375,0.2,-12.652629336714744,0.277965247631073,0.0003,-0.12852689623832703,770.0,-0.08885747585445643,0.6941091418266296,0.03488076578942127
