step,wall_time,episode_return,episode_length,train_approx_kl,train_clip_fraction,train_clip_range,train_entropy_loss,train_explained_variance,train_learning_rate,train_loss,train_n_updates,train_policy_gradient_loss,train_std,train_value_loss
16384,6.425251007080078,603.44194596875,500.0,0.11352474987506866,0.5722412109375,0.2,-13.991311174631118,0.5077425241470337,0.0003,-0.12393290549516678,530.0,-0.09149735020182562,0.7769076228141785,0.048878019110998136
24576,10.309758186340332,603.44194596875,500.0,0.11034783720970154,0.5674560546875,0.2,-13.946126714348793,0.6216709613800049,0.0003,-0.11471182107925415,540.0,-0.0878272561749327,0.7732993960380554,0.039559209425351585
32768,13.889579057693481,680.467227484375,500.0,0.12793004512786865,0.59337158203125,0.2,-13.899828973412514,0.3131901025772095,0.0003,-0.11795251816511154,550.0,-0.09462924752442632,0.7706073522567749,0.04831186255323701
40960,17.460515022277832,680.467227484375,500.0,0.11692159622907639,0.58043212890625,0.2,-13.841504368185998,0.4468401074409485,0.0003,-0.11063731461763382,560.0,-0.0866898945911089,0.7661877870559692,0.05235862864064984
49152,21.302913188934326,715.0975021458333,500.0,0.1306907832622528,0.58931884765625,0.2,-13.769276723265648,0.31464147567749023,0.0003,-0.12917883694171906,570.0,-0.09304934180399868,0.7615256309509277,0.04399713913735468
57344,25.10477614402771,715.0975021458333,500.0,0.11971864104270935,0.57939453125,0.2,-13.706021323800087,0.3915169835090637,0.0003,-0.1130179762840271,580.0,-0.0900827396006207,0.7574539184570312,0.050766312360065055
65536,29.044823169708252,794.9853122,500.0,0.13748696446418762,0.599609375,0.2,-13.64570209980011,0.37445974349975586,0.0003,-0.13008369505405426,590.0,-0.09290598663937999,0.7541078329086304,0.03909871981886681
73728,32.81738901138306,794.9853122,500.0,0.1258649230003357,0.59105224609375,0.2,-13.590578123927116,0.4353228211402893,0.0003,-0.1167943924665451,600.0,-0.08986725718423258,0.7503279447555542,0.0467413797538029
81920,36.82174801826477,851.9025923000002,500.0,0.13834351301193237,0.6,0.2,-13.518674224615097,0.5313449501991272,0.0003,-0.12930668890476227,610.0,-0.09476275300839916,0.7464808821678162,0.04155335823015775
90112,40.5755660533905,851.9025923000002,500.0,0.1362934708595276,0.602783203125,0.2,-13.474773651361465,0.5934287905693054,0.0003,-0.11762991547584534,620.0,-0.09146294429083354,0.7429973483085632,0.04137519893411081
98304,44.478567123413086,944.1371454499999,500.0,0.13610674440860748,0.6016845703125,0.2,-13.400267651677131,0.37739747762680054,0.0003,-0.11693503707647324,630.0,-0.0934646094974596,0.7386576533317566,0.04073807137901895
106496,48.206276178359985,944.1371454499999,500.0,0.13819721341133118,0.6048583984375,0.2,-13.341766691207885,0.5176705121994019,0.0003,-0.11472897976636887,640.0,-0.09016263073717709,0.7351696491241455,0.042188529385020955
