step,wall_time,episode_return,episode_length,train_approx_kl,train_clip_fraction,train_clip_range,train_entropy_loss,train_explained_variance,train_learning_rate,train_loss,train_n_updates,train_policy_gradient_loss,train_std,train_value_loss
16384,7.05889105796814,1065.4711802187499,500.0,0.1577802300453186,0.6183349609375,0.2,-13.255810952186584,0.13863778114318848,0.0003,-0.12201118469238281,660.0,-0.09594518348167184,0.7303203344345093,0.04499116845254321
24576,10.83260202407837,1065.4711802187499,500.0,0.1359550952911377,0.59794921875,0.2,-13.200544467568397,0.47632795572280884,0.0003,-0.12233270704746246,670.0,-0.08754493501619436,0.7274588346481323,0.032880527130328116
32768,15.828137159347534,1053.065867984375,500.0,0.16258299350738525,0.6203857421875,0.2,-13.153480568528176,0.32677483558654785,0.0003,-0.11011004447937012,680.0,-0.09425664322334341,0.7253131866455078,0.04527062437264249
40960,20.574939966201782,1053.065867984375,500.0,0.14411233365535736,0.6152099609375,0.2,-13.110393911600113,0.5226768255233765,0.0003,-0.1136501207947731,690.0,-0.08771950068185105,0.7219528555870056,0.03383443860220723
49152,25.39041805267334,1082.6113239270833,500.0,0.17557863891124725,0.63695068359375,0.2,-13.035567143559456,0.2113403081893921,0.0003,-0.11729398369789124,700.0,-0.09498682686244138,0.7170722484588623,0.03962414034758695
57344,29.525573015213013,1082.6113239270833,500.0,0.1683693528175354,0.6262451171875,0.2,-12.967902034521103,0.5113130807876587,0.0003,-0.11594393104314804,710.0,-0.09099865943717304,0.7134060263633728,0.03201328690629453
65536,33.830034017562866,1133.1716413,500.0,0.17618295550346375,0.63826904296875,0.2,-12.901965761184693,0.22526180744171143,0.0003,-0.12164728343486786,720.0,-0.09497404555004323,0.7094409465789795,0.032838717434788126
73728,38.10722517967224,1133.1716413,500.0,0.1608569473028183,0.62398681640625,0.2,-12.849537029862404,0.5242828130722046,0.0003,-0.11860191076993942,730.0,-0.08808214766322635,0.7064509391784668,0.03681086632423103
81920,42.8781521320343,1259.08290372,500.0,0.16511644423007965,0.624755859375,0.2,-12.763872277736663,0.21832090616226196,0.0003,-0.10933159291744232,740.0,-0.09130612121953163,0.7013438940048218,0.034864606201881546
90112,47.47705912590027,1253.2026779,497.47,0.17206928133964539,0.6333984375,0.2,-12.692345029115677,0.46707767248153687,0.0003,-0.11235395073890686,750.0,-0.0889172784780385,0.6974411010742188,0.036388219823129474
98304,51.77031111717224,1328.0425730999998,497.47,0.17248083651065826,0.632080078125,0.2,-12.644265520572663,0.35705894231796265,0.0003,-0.1055145338177681,760.0,-0.0893707017385168,0.6944724917411804,0.032103543754783456
106496,56.81241512298584,1328.4207537700004,497.47,0.17857009172439575,0.63779296875,0.2,-12.584586626291275,0.5849101543426514,0.0003,-0.11220252513885498,770.0,-0.09233648847875883,0.6920536756515503,0.0329459780419711
