seed,samples,finger0_min_distance_m,finger1_min_distance_m,finger2_min_distance_m,best_simultaneous_max_distance_m,best_simultaneous_finger0_distance_m,best_simultaneous_finger1_distance_m,best_simultaneous_finger2_distance_m,settled_contact_count
0,20000,-0.023992248812872454,-0.02399668905228862,-0.01520183857783342,-0.012548125324418315,-0.022337975723172105,-0.019327006541307958,-0.012548125324418315,2
1,20000,-0.023992622195370867,-0.02399862295018245,-0.014955926369355622,-0.01226423112259108,-0.023603700790387955,-0.023545017101159797,-0.01226423112259108,0
2,20000,-0.023989415896726422,-0.02399651850001515,-0.015208558862650962,-0.012971485276330526,-0.020644299456399028,-0.01894433984907764,-0.012971485276330526,0
