step,axis_rotation_deg_mean,tip_error_m_mean,final_axis_tilt_deg_mean,success_rate,drop_rate,axis_tilt_terminations,passed
84200,178.506214,0.0082492083,12.065057,0.30,0.05,1,false
87200,173.792970,0.0062247306,9.144587,0.40,0.00,0,false
90200,158.991354,0.0047599227,7.638637,0.05,0.00,0,false
93200,127.327717,0.0052390744,7.789436,0.05,0.05,1,false
96200,87.587063,0.0030500373,4.495195,0.00,0.00,0,false
99200,66.667296,0.0029197755,4.283011,0.00,0.00,0,false
99560,66.700635,0.0025312115,3.814491,0.00,0.00,0,false
