step,wall_time,episode_return,episode_length,train_approx_kl,train_clip_fraction,train_clip_range,train_entropy_loss,train_explained_variance,train_learning_rate,train_loss,train_n_updates,train_policy_gradient_loss,train_std,train_value_loss
16384,6.572181940078735,1391.5443237499999,500.0,0.1826450526714325,0.643603515625,0.2,-12.310187792778015,0.31016337871551514,0.0003,-0.11607357859611511,790.0,-0.09389754086150788,0.6736776828765869,0.03351874397776555
24576,10.455846786499023,1391.5443237499999,500.0,0.17210201919078827,0.6310302734375,0.2,-12.237570133805274,0.386288046836853,0.0003,-0.11439583450555801,800.0,-0.08790195535111707,0.6700164079666138,0.029407260182779282
32768,14.50106692314148,1463.7282593125,500.0,0.18613670766353607,0.647998046875,0.2,-12.157245016098022,0.5304557085037231,0.0003,-0.1204410195350647,810.0,-0.09115612489404157,0.6659189462661743,0.03246062024845742
40960,18.448689937591553,1463.7282593125,500.0,0.17803354561328888,0.63680419921875,0.2,-12.105695667862893,0.6791232824325562,0.0003,-0.1156354695558548,820.0,-0.08150615159393056,0.6629085540771484,0.027305894665187225
49152,22.383036851882935,1533.3301013645832,500.0,0.19058847427368164,0.64677734375,0.2,-12.013351711630822,0.44489896297454834,0.0003,-0.11584208905696869,830.0,-0.08901561042293907,0.6575968861579895,0.028658845601603387
57344,26.296656847000122,1533.3301013645832,500.0,0.1850121021270752,0.63785400390625,0.2,-11.942256471514701,0.6498372554779053,0.0003,-0.10884355008602142,840.0,-0.07997307519253809,0.654242992401123,0.030596262606559323
65536,30.1771879196167,1638.3896631799998,500.0,0.1979287713766098,0.65152587890625,0.2,-11.868119314312935,0.42738133668899536,0.0003,-0.11847873032093048,850.0,-0.0895801296486752,0.6501033306121826,0.02385844852833543
73728,34.06203293800354,1638.3896631799998,500.0,0.2050146758556366,0.65556640625,0.2,-11.801932784914971,0.7176902890205383,0.0003,-0.10703611373901367,860.0,-0.0816469702811446,0.6464681625366211,0.02602828544622753
81920,38.022873878479004,1725.5851168200004,500.0,0.19014005362987518,0.65504150390625,0.2,-11.736455330252648,0.4233304262161255,0.0003,-0.11931700259447098,870.0,-0.08490904147038236,0.6430387496948242,0.021788968017790466
90112,42.09891080856323,1725.5851168200004,500.0,0.22125490009784698,0.668701171875,0.2,-11.66625189781189,0.643044114112854,0.0003,-0.12120768427848816,880.0,-0.08257854228431824,0.6402890682220459,0.023526652084547094
98304,46.058470010757446,1802.3829219000002,500.0,0.19652795791625977,0.65301513671875,0.2,-11.61042199730873,0.3201887607574463,0.0003,-0.1224428117275238,890.0,-0.0877398247277597,0.6366236209869385,0.01698881053016521
106496,49.999799966812134,1802.3829219000002,500.0,0.23031169176101685,0.660693359375,0.2,-11.550286665558815,0.6622880697250366,0.0003,-0.10422739386558533,900.0,-0.08209215670940466,0.6341171264648438,0.02226836575428024
