checkpoint,step,rotation_deg,tip_error_mm,drop_rate,contact_0_fraction,contact_1_fraction,contact_2_fraction,contact_3_fraction,axis_tilt_terminations
baseline,50600.0,1.1290671729687027,4.029470732255835,1.0,0.8047169811320755,0.19528301886792454,0.0,0.0,20.0
ppo_rod_55600_steps,55600.0,1.525896007401501,4.615164891159244,1.0,0.8185567010309278,0.18144329896907216,0.0,0.0,20.0
ppo_rod_60600_steps,60600.0,0.8585183496399695,4.492222437766692,1.0,0.7779043280182233,0.22209567198177677,0.0,0.0,20.0
ppo_rod_65600_steps,65600.0,0.9871305894790161,5.005969910088555,1.0,0.7952488687782805,0.20475113122171945,0.0,0.0,20.0
ppo_rod_70600_steps,70600.0,1.1245462514663191,5.1838138948936185,1.0,0.7952941176470588,0.20470588235294118,0.0,0.0,20.0
ppo_rod_75600_steps,75600.0,0.9238372161876385,4.879289771585685,1.0,0.7957992998833139,0.20420070011668612,0.0,0.0,20.0
final_model,76200.0,0.9249829734785221,4.848161884649358,1.0,0.7972508591065293,0.2027491408934708,0.0,0.0,20.0
