checkpoint,step,rotation_deg,tip_error_mm,drop_rate,contact_0_fraction,contact_1_fraction,contact_2_fraction,contact_3_fraction,axis_tilt_terminations,contact_reward_mean,force_penalty_mean
zeroshot,50600,1.2598042264586533,4.545006445175785,1.0,0.8018386108273748,0.19816138917262513,0.0,0.0,20,-8.215922768531312,0.0
ppo_rod_55600_steps,55600,0.938797605775784,3.87481369841765,1.0,0.7950052029136316,0.20499479708636836,0.0,0.0,20,-8.147339543193784,0.0
ppo_rod_60600_steps,60600,1.534653677774912,4.111991059137237,1.0,0.8184679958027282,0.18153200419727178,0.0,0.0,20,-8.297794207159878,0.0
ppo_rod_65600_steps,65600,1.4050550406836708,4.01066344215041,1.0,0.7885514018691588,0.21144859813084113,0.0,0.0,20,-8.078380516125906,0.0
ppo_rod_70600_steps,70600,1.0769575404677922,3.6057944028212927,1.0,0.8098818474758325,0.19011815252416756,0.0,0.0,20,-8.300138758131325,0.0
ppo_rod_75600_steps,75600,1.0530425202857294,4.979741407264401,1.0,0.7906976744186046,0.20930232558139536,0.0,0.0,20,-8.093845787277925,0.0
final_model,76200,1.443384496273954,3.977312510701686,1.0,0.8054892601431981,0.19451073985680192,0.0,0.0,20,-8.201149850732024,0.0
