seed,samples,finger0_min_distance_m,finger1_min_distance_m,finger2_min_distance_m,best_simultaneous_max_distance_m,best_simultaneous_finger0_distance_m,best_simultaneous_finger1_distance_m,best_simultaneous_finger2_distance_m,settled_contact_count
0,500,-0.02162682293218217,-0.022534982809100285,-0.017448989285250308,-0.011923807621678002,-0.011923807621678002,-0.017355473328836364,-0.017448989285250308,2
1,500,-0.021836596786966207,-0.023362097162360394,-0.013455006847801765,-0.0030698499134214317,-0.0031257165751214077,-0.0030698499134214317,-0.013455006847801765,1
2,500,-0.0219389644101272,-0.02271964890204886,-0.016119319367575106,-0.0005166053466921765,-0.0006981723499982998,-0.0008374113505175453,-0.0005166053466921765,1
